region,lat,lon,temperature,dayNight,precip,traffic,severity,cnt
"37.03,-113.01",37.03,-113.01,< 80,Day,True,False,0,0
"37.03,-113.01",37.03,-113.01,80+,Day,False,False,2,1
"37.03,-113.01",37.03,-113.01,< 80,Night,True,True,0,0
"37.03,-113.01",37.03,-113.01,< 80,Night,True,False,0,0
"37.03,-113.01",37.03,-113.01,< 80,Night,False,True,0,0
"37.03,-113.01",37.03,-113.01,<= 32,Night,True,True,0,0
"37.03,-113.01",37.03,-113.01,80+,Day,True,True,0,0
"37.03,-113.01",37.03,-113.01,80+,Day,True,False,0,0
"37.03,-113.01",37.03,-113.01,80+,Night,True,True,0,0
"37.03,-113.01",37.03,-113.01,<= 32,Night,False,False,0,0
"37.03,-113.01",37.03,-113.01,<= 32,Night,False,True,0,0
"37.03,-113.01",37.03,-113.01,80+,Night,True,False,0,0
"37.03,-113.01",37.03,-113.01,<= 32,Day,False,True,0,0
"37.03,-113.01",37.03,-113.01,80+,Night,False,True,0,0
"37.03,-113.01",37.03,-113.01,< 80,Day,False,False,24,12
"37.03,-113.01",37.03,-113.01,<= 32,Day,True,False,0,0
"37.03,-113.01",37.03,-113.01,80+,Night,False,False,6,3
"37.03,-113.01",37.03,-113.01,<= 32,Day,True,True,0,0
"37.03,-113.01",37.03,-113.01,<= 32,Day,False,False,0,0
"37.03,-113.45",37.03,-113.45,<= 32,Day,True,True,0,0
"37.03,-113.45",37.03,-113.45,80+,Night,True,False,0,0
"37.03,-113.45",37.03,-113.45,80+,Night,False,True,0,0
"37.03,-113.45",37.03,-113.45,<= 32,Day,False,True,0,0
"37.03,-113.45",37.03,-113.45,<= 32,Day,False,False,0,0
"37.03,-113.45",37.03,-113.45,80+,Day,False,False,6,3
"37.03,-113.45",37.03,-113.45,80+,Night,False,False,0,0
"37.03,-113.45",37.03,-113.45,<= 32,Day,True,False,0,0
"37.03,-113.45",37.03,-113.45,80+,Day,False,True,0,0
"37.03,-113.45",37.03,-113.45,80+,nan,False,False,2,1
"37.03,-113.45",37.03,-113.45,80+,Day,True,False,0,0
"37.03,-113.45",37.03,-113.45,80+,Day,True,True,0,0
"37.03,-113.45",37.03,-113.45,80+,Night,True,True,0,0
"37.03,-113.45",37.03,-113.45,< 80,Night,False,False,0,0
"37.03,-113.45",37.03,-113.45,< 80,Night,False,True,0,0
"37.03,-113.45",37.03,-113.45,< 80,Night,True,False,0,0
"37.03,-113.45",37.03,-113.45,< 80,Night,True,True,0,0
"37.03,-113.45",37.03,-113.45,< 80,Day,False,False,0,0
"37.03,-113.45",37.03,-113.45,< 80,Day,False,True,0,0
"37.03,-113.45",37.03,-113.45,< 80,Day,True,False,0,0
"37.03,-113.45",37.03,-113.45,< 80,Day,True,True,0,0
"37.03,-113.45",37.03,-113.45,<= 32,Night,False,False,0,0
"37.03,-113.45",37.03,-113.45,<= 32,Night,False,True,0,0
"37.03,-113.45",37.03,-113.45,<= 32,Night,True,False,0,0
"37.03,-113.45",37.03,-113.45,<= 32,Night,True,True,0,0
"37.03,-113.55",37.03,-113.55,< 80,Night,False,False,4,2
"37.03,-113.55",37.03,-113.55,80+,Day,False,False,4,2
"37.03,-113.55",37.03,-113.55,<= 32,Day,False,False,0,0
"37.03,-113.55",37.03,-113.55,80+,Night,True,True,0,0
"37.03,-113.55",37.03,-113.55,80+,Day,True,False,0,0
"37.03,-113.55",37.03,-113.55,80+,Day,False,True,0,0
"37.03,-113.55",37.03,-113.55,80+,Day,True,True,0,0
"37.03,-113.55",37.03,-113.55,< 80,Night,False,True,0,0
"37.03,-113.55",37.03,-113.55,< 80,Night,True,False,0,0
"37.03,-113.55",37.03,-113.55,< 80,Night,True,True,0,0
"37.03,-113.55",37.03,-113.55,< 80,Day,False,True,0,0
"37.03,-113.55",37.03,-113.55,< 80,Day,True,False,0,0
"37.03,-113.55",37.03,-113.55,< 80,Day,False,False,2,1
"37.03,-113.55",37.03,-113.55,< 80,Day,True,True,0,0
"37.03,-113.55",37.03,-113.55,80+,Night,True,False,0,0
"37.03,-113.55",37.03,-113.55,<= 32,Night,False,False,0,0
"37.03,-113.55",37.03,-113.55,<= 32,Night,False,True,0,0
"37.03,-113.55",37.03,-113.55,<= 32,Night,True,False,0,0
"37.03,-113.55",37.03,-113.55,<= 32,Night,True,True,0,0
"37.03,-113.55",37.03,-113.55,80+,Night,False,False,2,1
"37.03,-113.55",37.03,-113.55,<= 32,Day,False,True,0,0
"37.03,-113.55",37.03,-113.55,<= 32,Day,True,False,0,0
"37.03,-113.55",37.03,-113.55,<= 32,Day,True,True,0,0
